bucket,Date_Time,Cyano,Green Algae,Diatoms,Total Conc.,Reflection
113,3/8/15 9:19,0.18,0,0.79,0.97,40
114,3/8/15 9:19,0.06,0,0.37,0.43,55
115,3/8/15 9:20,0.26,0,1.55,1.81,28
116,3/8/15 9:21,0.09,0,0.61,0.7,47
117,3/8/15 9:21,0.17,0,0.64,0.81,20
118,3/8/15 9:22,0.11,0,0.59,0.7,36
119,3/8/15 9:22,0.21,0,1.37,1.58,25
120,3/8/15 9:23,0.16,0,0.85,1.01,40
121,3/8/15 9:24,0.14,0,0.7,0.84,42
122,3/8/15 9:25,0.25,0,0.95,1.2,22
123,3/8/15 9:25,0.17,0,0.99,1.16,36
124,3/8/15 9:26,0.05,0,0.37,0.42,54
125,3/8/15 9:26,0.17,0,0.88,1.05,20
126,3/8/15 9:27,0.13,0,0.56,0.69,37
127,3/8/15 9:27,0.15,0,0.85,1,41
128,3/8/15 9:28,0.23,0.42,0.76,1.41,42
129,3/8/15 9:29,0.11,0,0.75,0.86,50
130,3/8/15 9:29,0.39,0,2.99,3.38,11
131,3/8/15 9:30,0.24,0,1.09,1.33,25
132,3/8/15 9:30,0.25,0,1.15,1.4,17
133,3/8/15 9:31,0.36,0,1.1,1.46,25
134,3/8/15 9:32,0.15,0,0.76,0.91,40
135,3/8/15 9:32,0.2,0,1,1.2,35
136,3/8/15 9:33,0.02,0.07,0.13,0.22,57
137,3/8/15 9:33,0.09,0,0.95,1.04,38
138,3/8/15 9:34,0.13,0,0.8,0.93,29
139,3/8/15 9:34,0.12,0,0.52,0.64,46
140,3/8/15 9:35,0.1,0,0.53,0.63,44
141,3/8/15 9:35,0.11,0.51,0.37,0.99,50
142,3/8/15 9:36,0.21,0,1.01,1.22,26
143,3/8/15 9:37,0.16,0,0.78,0.94,44
144,3/8/15 9:37,0.16,0,0.63,0.79,53
