bucket,Date_Time,Cyano,Green Algae,Diatoms,Total Conc.,Reflection
1,27-07-15 7:26:43,0.12,0,0.76,0.88,45
2,27-07-15 7:27:42,0.29,0,1.06,1.35,34
3,27-07-15 7:28:24,0.42,0,1.53,1.95,29
4,27-07-15 7:29:05,0.22,0,0.87,1.09,32
5,27-07-15 7:29:51,0.45,0,1.52,1.97,40
6,27-07-15 7:30:37,0.16,0,0.69,0.85,44
7,27-07-15 7:31:11,0.05,0.01,0.33,0.39,55
8,27-07-15 7:32:18,0.26,0,0.94,1.2,38
9,27-07-15 7:33:18,0.07,0.03,0.43,0.53,46
10,27-07-15 7:33:55,0.07,0,0.45,0.52,51
11,27-07-15 7:34:45,0.18,0,0.42,0.6,44
12,27-07-15 7:35:26,0.18,0,0.92,1.1,31
13,27-07-15 7:36:09,0.07,0,0.39,0.46,45
14,27-07-15 7:37:00,0.1,0,0.45,0.55,32
15,27-07-15 7:37:38,0.06,0,0.37,0.43,56
16,27-07-15 7:38:18,0.12,0,0.53,0.65,40
17,27-07-15 7:39:02,0.11,0,0.5,0.61,41
18,27-07-15 7:39:40,0.26,0,1.02,1.28,23
19,27-07-15 7:40:16,0.05,0.22,0.26,0.53,53
20,27-07-15 7:40:57,0.27,0,1.27,1.54,41
21,27-07-15 7:42:04,0.28,0,1.07,1.35,27
22,27-07-15 7:42:39,0.06,0,0.36,0.42,56
23,27-07-15 7:43:20,0.2,0,0.9,1.1,40
24,27-07-15 7:43:55,0.52,0,2.56,3.08,24
25,27-07-15 7:44:54,0.22,0,1.06,1.28,45
26,27-07-15 7:45:46,0.16,0,0.7,0.86,30
27,27-07-15 7:46:33,0.25,0,1.11,1.36,36
28,27-07-15 7:47:13,0.45,0,1.93,2.38,13
29,27-07-15 7:47:57,0.08,0,0.42,0.5,56
30,27-07-15 7:48:36,0.15,0,0.63,0.78,43
31,27-07-15 7:49:16,0.11,0,0.65,0.76,52
32,27-07-15 7:50:05,0.16,0,0.73,0.89,43
33,27-07-15 7:50:42,0.25,0,1,1.25,41
34,27-07-15 7:51:27,0.33,0,0.95,1.28,45
35,27-07-15 7:52:11,0.4,0,1.34,1.74,25
36,27-07-15 7:52:56,0.43,0,2.16,2.59,31
37,27-07-15 7:53:32,0.46,0.4,1.57,2.43,35
38,27-07-15 7:54:27,0.1,0,0.61,0.71,50
39,27-07-15 7:55:10,0.22,0,1.38,1.6,31
40,27-07-15 7:55:44,0.32,0,1.35,1.67,22
41,27-07-15 7:56:36,0.34,0,1.2,1.54,16
42,27-07-15 7:57:16,0.19,0,0.72,0.91,40
43,27-07-15 7:58:08,0.15,0,0.78,0.93,41
44,27-07-15 7:58:53,0.38,0,1.68,2.06,25
45,27-07-15 7:59:37,0.07,0.04,0.41,0.52,57
46,27-07-15 8:00:15,0.08,0,0.5,0.58,51
47,27-07-15 8:01:03,0.08,0.03,0.42,0.53,48
48,27-07-15 8:01:39,0.45,0,2.03,2.48,20
