bucket,Date_Time,Cyano,Green Algae,Diatoms,Total Conc.,Reflection
49,27-07-15 8:17:47,0.19,0,0.83,1.02,51
50,27-07-15 8:19:35,0.35,0,1.25,1.6,16
51,27-07-15 8:20:27,0.07,0,0.53,0.6,53
52,27-07-15 8:21:20,0.09,0,0.48,0.57,47
53,27-07-15 8:22:05,0.15,0,0.68,0.83,36
54,27-07-15 8:22:41,0.15,0,0.84,0.99,47
55,27-07-15 8:23:23,0.14,0,0.67,0.81,37
56,27-07-15 8:24:12,0.35,0,1.4,1.75,30
57,27-07-15 8:24:59,0.14,0,0.94,1.08,48
58,27-07-15 8:25:45,0.33,0,1.03,1.36,23
59,27-07-15 8:26:27,0.03,0,0.18,0.21,61
60,27-07-15 8:27:03,0.07,0,0.37,0.44,55
61,27-07-15 8:51:34,0.06,0,0.21,0.27,53
62,27-07-15 8:52:21,0.1,0,0.43,0.53,35
63,27-07-15 8:53:04,0.12,0,0.38,0.5,34
64,27-07-15 8:53:41,0.53,0,1.89,2.42,24
65,27-07-15 8:54:33,0.1,0,0.38,0.48,48
66,27-07-15 8:55:23,0.3,0,2.13,2.43,24
67,27-07-15 8:56:00,0.26,0,1.18,1.44,42
68,27-07-15 8:56:45,0.1,0,0.48,0.58,52
69,27-07-15 8:57:20,0.29,0,1.21,1.5,31
70,27-07-15 8:57:57,0.06,0,0.35,0.41,60
71,27-07-15 8:58:52,0.19,0,0.92,1.11,31
72,27-07-15 8:59:33,0.16,0.31,0.72,1.19,41
73,27-07-15 9:00:40,0.04,0.02,0.18,0.24,55
74,27-07-15 9:01:37,0.07,0,0.51,0.58,50
75,27-07-15 9:02:13,0.35,0,2.01,2.36,18
76,27-07-15 9:02:49,0.27,0,1.16,1.43,33
77,27-07-15 9:03:47,0.48,0,2.1,2.58,29
78,27-07-15 9:04:21,0.1,0,0.58,0.68,46
79,27-07-15 9:04:57,0.5,0,1.97,2.47,22
80,27-07-15 9:06:28,0.17,0,0.91,1.08,48
81,27-07-15 9:07:28,0.05,0,0.37,0.42,53
82,27-07-15 9:08:05,0.32,0,1.55,1.87,41
83,27-07-15 9:09:05,0.13,0,0.66,0.79,52
84,27-07-15 9:09:42,0.18,0,1.09,1.27,31
85,27-07-15 9:10:27,0.22,0,0.74,0.96,25
86,27-07-15 9:11:28,0.28,0,1.01,1.29,25
87,27-07-15 9:12:06,0.06,0,0.3,0.36,59
88,27-07-15 9:12:38,0.08,0,0.6,0.68,54
89,27-07-15 9:13:25,0.19,0,0.64,0.83,38
90,27-07-15 9:14:06,0.1,0.27,0.35,0.72,58
91,27-07-15 9:14:38,0.32,0,1.06,1.38,33
92,27-07-15 9:15:27,0.12,0,0.44,0.56,39
93,27-07-15 9:16:09,0.37,0.35,1.63,2.35,36
94,27-07-15 9:16:48,0.25,0,0.93,1.18,20
95,27-07-15 9:17:30,0.09,0,0.33,0.42,42
96,27-07-15 9:18:17,0.18,0,0.81,0.99,34
97,27-07-15 9:24:38,0.05,0,0.35,0.4,58
98,27-07-15 9:26:04,0.12,0,0.29,0.41,41
99,27-07-15 9:26:53,0.09,0,0.39,0.48,43
100,27-07-15 9:27:27,0.1,0,0.54,0.64,50
101,27-07-15 9:28:23,0.1,0,0.44,0.54,36
102,27-07-15 9:29:04,0.04,0,0.26,0.3,48
103,27-07-15 9:29:37,0.32,0,1.32,1.64,31
104,27-07-15 9:30:29,0.19,0,0.73,0.92,34
105,27-07-15 9:31:30,0.05,0,0.34,0.39,54
106,27-07-15 9:32:16,0.24,0,0.69,0.93,30
107,27-07-15 9:33:18,0.04,0,0.31,0.35,55
108,27-07-15 9:34:10,0.36,0,1.3,1.66,39
109,27-07-15 9:34:47,0.32,0,1.28,1.6,24
110,27-07-15 9:35:33,0.05,0,0.35,0.4,58
111,27-07-15 9:39:40,0.03,0,0.2,0.23,57
112,27-07-15 9:40:22,0.18,0,1.09,1.27,36
113,27-07-15 9:41:02,0.14,0,0.6,0.74,48
114,27-07-15 9:41:39,0.05,0,0.39,0.44,55
115,27-07-15 9:42:19,0.14,0,0.69,0.83,34
116,27-07-15 9:42:58,0.1,0,0.51,0.61,51
117,27-07-15 9:43:48,0.14,0,0.91,1.05,31
118,27-07-15 9:44:39,0.14,0,0.71,0.85,47
119,27-07-15 9:45:19,0.25,0,1.47,1.72,23
120,27-07-15 9:45:51,0.11,0,0.37,0.48,33
121,27-07-15 9:47:11,0.09,0,0.59,0.68,56
122,27-07-15 9:48:34,0.63,0,2.88,3.51,24
123,27-07-15 9:49:04,0.05,0.02,0.34,0.41,56
124,27-07-15 9:49:47,0.11,0,0.56,0.67,44
125,,,,,,
126,,,,,,
127,27-07-15 9:52:27,0.05,0.05,0.35,0.45,58
128,27-07-15 9:53:03,0.09,0,0.4,0.49,61
129,27-07-15 9:54:15,0.1,0,0.57,0.67,54
130,27-07-15 9:54:50,0.19,0,1.02,1.21,38
131,27-07-15 9:55:33,0.11,0,0.54,0.65,51
132,27-07-15 9:56:06,0.11,0,0.26,0.37,41
133,27-07-15 9:56:41,0.12,0,0.5,0.62,40
134,27-07-15 9:57:31,0.31,0,0.99,1.3,25
135,27-07-15 9:58:22,0.19,0,0.79,0.98,46
136,27-07-15 9:58:56,0.05,0.04,0.32,0.41,44
137,27-07-15 9:59:44,0.26,0,1.24,1.5,33
138,27-07-15 10:00:15,0.19,0,1.07,1.26,31
139,27-07-15 10:00:48,0.42,0,1.34,1.76,32
140,27-07-15 10:01:26,0.05,0,0.36,0.41,57
141,27-07-15 10:01:57,0.42,0,2.41,2.83,29
142,27-07-15 10:02:28,0.4,0,1.19,1.59,28
144,27-07-15 10:03:04,0.06,0,0.39,0.45,54
145,27-07-15 10:03:41,0.07,0,0.32,0.39,48
