Type,Bucket,bag short,final,comments,real bag,biomass,
pod,111,6,3.05,,3.06,0.02,corrected
pod,112,,,,,0.04,
pod,113,7,3.05,,3.07,0.03,corrected
pod,115,8,3.44,,3.08,0.36,
pod,118,8,3.37,,3.08,0.29,
pod,122,2,3.39,,3.02,0.36,
pod,125,6,3.29,,3.06,0.23,
pod,126,7,3.29,,3.07,0.21,
pod,127,7,3.05,,3.07,0.02,corrected
pod,128,7,3.12,,3.07,0.04,
pod,131,6,3.10,,3.06,0.03,
pod,134,7,3.37,,3.07,0.30,
pod,135,8,3.19,,3.08,0.10,
pod,136,6,3.19,,3.06,0.12,
pod,140,7,3.07,,3.07,0.02,corrected
pod,142,9,3.38,,3.09,0.29,
pod,144,7,3.05,,3.07,0.02,corrected
crab,1,2,2.88,,2.31,0.57,
crab,2,2,2.97,,2.27,0.70,
crab,3,2,3.37,,2.27,1.10,
crab,6,2,3.39,,2.28,1.11,
crab,7,2,3.85,,2.34,1.51,
crab,8,2,3.18,,2.32,0.86,
crab,10,2,2.75,,2.26,0.49,
crab,12,2,3.13,,2.29,0.84,
crab,15,2,4.19,,2.26,1.93,
crab,19,2,3.26,,2.29,0.97,
crab,20,2,3.11,,2.25,0.86,
crab,22,2,2.89,,2.26,0.63,
crab,25,2,2.86,,2.32,0.54,
crab,26,2,3.27,,2.28,0.99,
crab,27,2,3.36,,2.28,1.08,
crab,29,2,2.88,,2.27,0.61,
crab,31,2,3.03,,2.27,0.76,
crab,32,2,2.97,,2.27,0.70,
crab,33,2,3.01,,2.28,0.73,
crab,37,2,3.10,,2.28,0.82,
crab,46,2,2.87,,2.32,0.55,
crab,47,2,3.69,,2.27,1.42,
crab,49,2,5.11,,2.29,2.82,
crab,51,2,3.31,,2.29,1.02,
crab,52,2,2.88,,2.27,0.61,
crab,54,2,3.39,,2.36,1.03,
crab,57,2,2.74,,2.29,0.45,
crab,59,2,3.40,,2.29,1.11,
crab,60,2,3.67,,2.28,1.39,
crab,61,2,3.04,,2.28,0.76,
crab,67,3,3.59,,2.56,1.03,
crab,68,2,4.73,,2.27,2.46,
crab,71,2,2.79,,2.26,0.53,
crab,72,2,2.48,,2.29,0.19,
crab,73,2,2.97,,2.27,0.70,
crab,74,2,3.11,,2.30,0.81,
crab,80,2,3.26,,2.32,0.94,
crab,81,2,3.00,,2.34,0.66,
crab,83,2,4.27,,2.32,1.95,
crab,87,2,2.92,,2.29,0.63,
crab,88,2,3.24,,2.34,0.90,
crab,90,2,3.73,,2.30,1.43,
crab,92,2,2.87,,2.28,0.59,
crab,93,2,3.46,,2.29,1.17,
crab,96,2,3.28,,2.29,0.99,
crab,97,2,3.99,,2.30,1.69,
crab,100,2,3.49,,2.31,1.18,
crab,105,2,2.68,,2.32,0.36,
crab,107,2,3.88,,2.35,1.53,
crab,108,2,2.90,,2.34,0.56,
crab,110,2,4.79,,2.35,2.44,
crab,111,2,3.23,,2.32,0.91,
crab,112,2,3.60,,2.26,1.34,
crab,113,2,3.65,,2.29,1.36,
crab,114,2,3.69,,2.33,1.36,
crab,116,2,3.63,,2.32,1.31,
crab,123,2,2.88,,2.35,0.53,
crab,127,3,4.41,,3.09,1.32,
crab,129,2,4.40,,2.32,2.08,
crab,131,2,2.93,,2.28,0.65,
crab,133,2,2.63,,2.32,0.31,
crab,135,2,3.26,,2.27,0.99,
crab,138,2,2.71,,2.27,0.44,
crab,140,2,3.36,,2.38,0.98,
crab,143,2,2.72,,2.32,0.40,
crab,144,2,3.60,,2.26,1.34,
crab,99,2,2.47,,2.28,0.19,
ulva,33,3,4.08,,3.10,0.98,
ulva,37,3,5.26,,3.07,2.19,
ulva,49,6,9.73,,6.16,3.57,
ulva,55,3,5.19,,3.07,2.12,
ulva,54,3,3.82,,3.08,0.74,
mm0.5,1,,3.07,,2.95,0.12,
mm0.5,2,,3.02,,2.95,0.07,
mm0.5,3,,3.06,,2.94,0.11,
mm0.5,4,,3.02,,2.92,0.10,
mm0.5,5,,3.04,,2.96,0.08,
mm0.5,6,,3.10,,2.97,0.13,
mm0.5,7,,3.08,,2.99,0.09,
mm0.5,8,,3.04,,2.94,0.10,
mm0.5,9,,3.04,,2.96,0.08,
mm0.5,10,,3.07,,2.96,0.11,
mm0.5,11,,3.07,,2.97,0.10,
mm0.5,12,,3.11,,2.98,0.13,
mm0.5,13,,3.07,,2.95,0.12,
mm0.5,14,,3.03,,2.98,0.06,
mm0.5,15,,3.15,,2.97,0.18,
